id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up8,bearing_deg_from_up8,estimated_bands
78,722,310,13122,23025682,-33.09,-60.734,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,6.2,87.2,B5 (850); B1 (2100)
76,722,34,402,10043,-33.092,-60.732,1000,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,6.379,89.3,B5 (850); B2 (1900)
79,722,310,13127,23035170,-33.09,-60.729,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,6.665,87.4,B5 (850); B1 (2100)
81,722,34,496,2663762,-33.086,-60.729,2321,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,6.7,83.6,B5 (850); B1 (2100)
80,722,310,13127,23005687,-33.09,-60.728,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,6.758,87.5,B5 (850); B1 (2100)
111,722,34,498,173395,-33.039,-60.758,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,7.164,33.5,B5 (850); B1 (2100)
117,722,310,13127,23050972,-33.027,-60.792,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,7.348,6.2,B5 (850); B1 (2100)
116,722,310,13128,23015377,-33.027,-60.792,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,7.348,6.2,B5 (850); B1 (2100)
97,722,34,494,2663765,-33.078,-60.722,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,7.491,77.4,B5 (850); B1 (2100)
105,722,34,496,2665712,-33.053,-60.866,3763,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,7.535,305.9,B5 (850); B1 (2100)
85,722,34,407,50050,-33.09,-60.719,2533,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,7.596,87.8,B5 (850); B2 (1900)
115,722,34,492,2665714,-33.024,-60.799,1447,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,7.641,1.0,B5 (850); B1 (2100)
106,722,34,496,2665715,-33.053,-60.868,3867,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,7.687,305.0,B5 (850); B1 (2100)
104,722,310,13127,23005170,-33.053,-60.869,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,7.763,304.6,B5 (850); B1 (2100)
83,722,34,491,2663902,-33.09,-60.717,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,7.782,87.8,B5 (850); B1 (2100)
118,722,34,491,2663763,-33.03,-60.759,8743,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,7.972,29.0,B5 (850); B1 (2100)
15,722,7,2431,8178181,-33.146,-60.858,13126,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,7.989,222.1,B5 (850); B1 (2100)
103,722,310,13127,23025467,-33.053,-60.872,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,7.995,303.5,B5 (850); B1 (2100)
84,722,34,494,2664061,-33.09,-60.714,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.061,87.9,B5 (850); B1 (2100)
107,722,34,407,60042,-33.048,-60.869,1567,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.092,307.9,B5 (850); B2 (1900)
6,722,34,402,40043,-33.163,-60.825,11182,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.143,196.3,B5 (850); B2 (1900)
82,722,310,13127,23005631,-33.094,-60.713,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,8.15,91.0,B5 (850); B1 (2100)
14,722,34,496,2663332,-33.146,-60.861,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.179,223.6,B5 (850); B1 (2100)
49,722,34,402,20201,-33.085,-60.889,11524,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.292,275.9,B5 (850); B2 (1900)
86,722,7,2431,8180777,-33.084,-60.712,8980,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,8.299,83.3,B5 (850); B1 (2100)
119,722,34,491,2622093,-33.027,-60.758,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.309,28.5,B5 (850); B1 (2100)
43,722,34,496,2664061,-33.122,-60.718,4943,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.344,113.0,B5 (850); B1 (2100)
139,722,310,23106,1184002,-33.02,-60.824,1000,LTE,1,0,True,0,0,23106,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,8.376,344.8,B28 (700); B4 (AWS); B7 (2600)
120,722,34,491,2622286,-33.026,-60.757,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.451,28.7,B5 (850); B1 (2100)
121,722,34,65532,2622286,-33.026,-60.757,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.451,28.7,B5 (850); B1 (2100)
122,722,34,65530,2663763,-33.025,-60.759,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.462,27.2,B5 (850); B1 (2100)
125,722,34,491,2621837,-33.024,-60.761,4964,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.479,25.7,B5 (850); B1 (2100)
123,722,34,491,2663766,-33.025,-60.757,8576,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.549,28.3,B5 (850); B1 (2100)
13,722,34,492,2625456,-33.149,-60.864,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.613,223.4,B5 (850); B1 (2100)
