point_id,lat,lon,z_m,status,banda_max,rx_max_dbm,rx_B2,rx_B4,rx_B7,rx_B25,rx_B26,rx_B28,rx_B41,rx_B66
P000000,-31.5107486,-60.71909,7.5,OUT,B26,-52.23,-60.63,-61.36,-63.26,-60.64,-52.23,-52.63,-63.06,-61.45
P000001,-31.5107486,-60.7190584,7.5,OUT,B26,-52.26,-60.65,-61.39,-63.29,-60.67,-52.26,-52.66,-63.09,-61.48
P000002,-31.5107486,-60.7190268,7.5,OUT,B26,-52.3,-60.68,-61.41,-63.32,-60.69,-52.3,-52.68,-63.11,-61.51
P000003,-31.5107216,-60.7192165,7.5,OUT,B26,-52.12,-60.53,-61.26,-63.17,-60.54,-52.12,-52.53,-62.96,-61.35
P000004,-31.5107216,-60.7191848,7.5,OUT,B26,-52.16,-60.56,-61.29,-63.19,-60.57,-52.16,-52.56,-62.99,-61.38
P000005,-31.5107216,-60.7191532,7.5,OUT,B26,-52.19,-60.59,-61.32,-63.22,-60.6,-52.19,-52.59,-63.02,-61.41
P000006,-31.5107216,-60.7191216,7.5,OUT,B26,-52.22,-60.61,-61.35,-63.25,-60.63,-52.22,-52.62,-63.05,-61.44
P000007,-31.5107216,-60.71909,7.5,OUT,B26,-52.25,-60.64,-61.38,-63.28,-60.65,-52.25,-52.65,-63.07,-61.47
P000008,-31.5107216,-60.7190584,7.5,OUT,B26,-52.28,-60.67,-61.4,-63.31,-60.68,-52.28,-52.67,-63.1,-61.49
P000009,-31.5107216,-60.7190268,7.5,OUT,B26,-52.31,-60.7,-61.43,-63.33,-60.71,-52.31,-52.7,-63.13,-61.52
P000010,-31.5107216,-60.7189952,7.5,OUT,B26,-52.34,-60.73,-61.46,-63.36,-60.74,-52.34,-52.73,-63.16,-61.55
P000011,-31.5106947,-60.7193113,7.5,OUT,B26,-52.05,-60.46,-61.19,-63.1,-60.47,-52.05,-52.46,-62.89,-61.28
P000012,-31.5106947,-60.7192797,7.5,OUT,B26,-52.08,-60.49,-61.22,-63.13,-60.5,-52.08,-52.49,-62.92,-61.31
P000013,-31.5106947,-60.7192481,7.5,OUT,B26,-52.11,-60.52,-61.25,-63.15,-60.53,-52.11,-52.52,-62.95,-61.34
P000014,-31.5106947,-60.7192165,7.5,OUT,B26,-52.14,-60.55,-61.28,-63.18,-60.56,-52.14,-52.55,-62.98,-61.37
P000015,-31.5106947,-60.7191848,7.5,OUT,B26,-52.17,-60.57,-61.31,-63.21,-60.59,-52.17,-52.58,-63.01,-61.4
P000016,-31.5106947,-60.7191532,7.5,OUT,B26,-52.21,-60.6,-61.34,-63.24,-60.61,-52.21,-52.61,-63.03,-61.43
P000017,-31.5106947,-60.7191216,7.5,OUT,B26,-52.24,-60.63,-61.36,-63.27,-60.64,-52.24,-52.63,-63.06,-61.46
P000018,-31.5106947,-60.71909,7.5,OUT,B26,-52.27,-60.66,-61.39,-63.3,-60.67,-52.27,-52.66,-63.09,-61.48
P000019,-31.5106947,-60.7190584,7.5,OUT,B26,-52.3,-60.69,-61.42,-63.32,-60.7,-52.3,-52.69,-63.12,-61.51
P000020,-31.5106947,-60.7190268,7.5,OUT,B26,-52.33,-60.71,-61.45,-63.35,-60.73,-52.33,-52.72,-63.15,-61.54
P000021,-31.5106947,-60.7189952,7.5,OUT,B26,-52.36,-60.74,-61.48,-63.38,-60.75,-52.36,-52.74,-63.17,-61.57
P000022,-31.5106677,-60.7194061,7.5,OUT,B26,-51.97,-60.39,-61.12,-63.03,-60.4,-51.97,-52.39,-62.82,-61.22
P000023,-31.5106677,-60.7193745,7.5,OUT,B26,-52.0,-60.42,-61.15,-63.06,-60.43,-52.0,-52.42,-62.85,-61.24
P000024,-31.5106677,-60.7193429,7.5,OUT,B26,-52.03,-60.45,-61.18,-63.09,-60.46,-52.03,-52.45,-62.88,-61.27
P000025,-31.5106677,-60.7193113,7.5,OUT,B26,-52.07,-60.48,-61.21,-63.11,-60.49,-52.07,-52.48,-62.91,-61.3
P000026,-31.5106677,-60.7192797,7.5,OUT,B26,-52.1,-60.51,-61.24,-63.14,-60.52,-52.1,-52.51,-62.94,-61.33
P000027,-31.5106677,-60.7192481,7.5,OUT,B26,-52.13,-60.54,-61.27,-63.17,-60.55,-52.13,-52.54,-62.97,-61.36
P000028,-31.5106677,-60.7192165,7.5,OUT,B26,-52.16,-60.56,-61.3,-63.2,-60.57,-52.16,-52.57,-62.99,-61.39
P000029,-31.5106677,-60.7191848,7.5,OUT,B26,-52.19,-60.59,-61.32,-63.23,-60.6,-52.19,-52.59,-63.02,-61.42
P000030,-31.5106677,-60.7191532,7.5,OUT,B26,-52.22,-60.62,-61.35,-63.26,-60.63,-52.22,-52.62,-63.05,-61.44
P000031,-31.5106677,-60.7191216,7.5,OUT,B26,-52.25,-60.65,-61.38,-63.28,-60.66,-52.25,-52.65,-63.08,-61.47
P000032,-31.5106677,-60.71909,7.5,OUT,B26,-52.28,-60.68,-61.41,-63.31,-60.69,-52.28,-52.68,-63.11,-61.5
P000033,-31.5106677,-60.7190584,7.5,OUT,B26,-52.32,-60.7,-61.44,-63.34,-60.71,-52.32,-52.71,-63.13,-61.53
P000034,-31.5106677,-60.7190268,7.5,OUT,B26,-52.35,-60.73,-61.46,-63.37,-60.74,-52.35,-52.73,-63.16,-61.56
P000035,-31.5106677,-60.7189952,7.5,OUT,B26,-52.38,-60.76,-61.49,-63.39,-60.77,-52.38,-52.76,-63.19,-61.58
P000036,-31.5106408,-60.7195326,7.5,OUT,B26,-51.86,-60.29,-61.03,-62.93,-60.3,-51.86,-52.3,-62.72,-61.12
P000037,-31.5106408,-60.7195009,7.5,OUT,B26,-51.89,-60.32,-61.06,-62.96,-60.33,-51.89,-52.32,-62.75,-61.15
P000038,-31.5106408,-60.7194693,7.5,OUT,B26,-51.93,-60.35,-61.08,-62.99,-60.36,-51.93,-52.35,-62.78,-61.18
P000039,-31.5106408,-60.7194377,7.5,OUT,B26,-51.96,-60.38,-61.11,-63.02,-60.39,-51.96,-52.38,-62.81,-61.2
P000040,-31.5106408,-60.7194061,7.5,OUT,B26,-51.99,-60.41,-61.14,-63.05,-60.42,-51.99,-52.41,-62.84,-61.23
P000041,-31.5106408,-60.7193745,7.5,OUT,B26,-52.02,-60.44,-61.17,-63.07,-60.45,-52.02,-52.44,-62.87,-61.26
P000042,-31.5106408,-60.7193429,7.5,OUT,B26,-52.05,-60.47,-61.2,-63.1,-60.48,-52.05,-52.47,-62.9,-61.29
P000043,-31.5106408,-60.7193113,7.5,OUT,B26,-52.08,-60.5,-61.23,-63.13,-60.51,-52.08,-52.5,-62.93,-61.32
P000044,-31.5106408,-60.7192797,7.5,OUT,B26,-52.12,-60.52,-61.26,-63.16,-60.54,-52.12,-52.53,-62.96,-61.35
P000045,-31.5106408,-60.7192481,7.5,OUT,B26,-52.15,-60.55,-61.29,-63.19,-60.56,-52.15,-52.55,-62.98,-61.38
P000046,-31.5106408,-60.7192165,7.5,OUT,B26,-52.18,-60.58,-61.31,-63.22,-60.59,-52.18,-52.58,-63.01,-61.4
P000047,-31.5106408,-60.7191848,7.5,OUT,B26,-52.21,-60.61,-61.34,-63.25,-60.62,-52.21,-52.61,-63.04,-61.43
P000048,-31.5106408,-60.7191532,7.5,OUT,B26,-52.24,-60.64,-61.37,-63.27,-60.65,-52.24,-52.64,-63.07,-61.46
P000049,-31.5106408,-60.7191216,7.5,OUT,B26,-52.27,-60.66,-61.4,-63.3,-60.68,-52.27,-52.67,-63.1,-61.49
P000050,-31.5106408,-60.71909,7.5,OUT,B26,-52.3,-60.69,-61.43,-63.33,-60.7,-52.3,-52.69,-63.12,-61.52
P000051,-31.5106408,-60.7190584,7.5,OUT,B26,-52.33,-60.72,-61.45,-63.36,-60.73,-52.33,-52.72,-63.15,-61.54
P000052,-31.5106408,-60.7190268,7.5,OUT,B26,-52.36,-60.75,-61.48,-63.38,-60.76,-52.36,-52.75,-63.18,-61.57
P000053,-31.5106408,-60.7189952,7.5,OUT,B26,-52.39,-60.78,-61.51,-63.41,-60.79,-52.39,-52.78,-63.21,-61.6
P000054,-31.5106408,-60.7189636,7.5,OUT,B26,-52.42,-60.8,-61.54,-63.44,-60.81,-52.42,-52.8,-63.23,-61.63
P000055,-31.5106138,-60.7196274,7.5,OUT,B26,-51.79,-60.22,-60.96,-62.86,-60.23,-51.79,-52.23,-62.65,-61.05
P000056,-31.5106138,-60.7195958,7.5,OUT,B26,-51.82,-60.25,-60.99,-62.89,-60.26,-51.82,-52.26,-62.68,-61.08
P000057,-31.5106138,-60.7195642,7.5,OUT,B26,-51.85,-60.28,-61.02,-62.92,-60.29,-51.85,-52.28,-62.71,-61.11
P000058,-31.5106138,-60.7195326,7.5,OUT,B26,-51.88,-60.31,-61.04,-62.95,-60.32,-51.88,-52.31,-62.74,-61.14
P000059,-31.5106138,-60.7195009,7.5,OUT,B26,-51.91,-60.34,-61.07,-62.98,-60.35,-51.91,-52.34,-62.77,-61.16
P000060,-31.5106138,-60.7194693,7.5,OUT,B26,-51.95,-60.37,-61.1,-63.01,-60.38,-51.95,-52.37,-62.8,-61.19
P000061,-31.5106138,-60.7194377,7.5,OUT,B26,-51.98,-60.4,-61.13,-63.04,-60.41,-51.98,-52.4,-62.83,-61.22
P000062,-31.5106138,-60.7194061,7.5,OUT,B26,-52.01,-60.43,-61.16,-63.06,-60.44,-52.01,-52.43,-62.86,-61.25
P000063,-31.5106138,-60.7193745,7.5,OUT,B26,-52.04,-60.46,-61.19,-63.09,-60.47,-52.04,-52.46,-62.89,-61.28
P000064,-31.5106138,-60.7193429,7.5,OUT,B26,-52.07,-60.49,-61.22,-63.12,-60.5,-52.07,-52.49,-62.92,-61.31
P000065,-31.5106138,-60.7193113,7.5,OUT,B26,-52.1,-60.51,-61.25,-63.15,-60.52,-52.1,-52.52,-62.94,-61.34
P000066,-31.5106138,-60.7192797,7.5,OUT,B26,-52.13,-60.54,-61.27,-63.18,-60.55,-52.13,-52.54,-62.97,-61.37
P000067,-31.5106138,-60.7192481,7.5,OUT,B26,-52.17,-60.57,-61.3,-63.21,-60.58,-52.17,-52.57,-63.0,-61.39
P000068,-31.5106138,-60.7192165,7.5,OUT,B26,-52.2,-60.6,-61.33,-63.23,-60.61,-52.2,-52.6,-63.03,-61.42
P000069,-31.5106138,-60.7191848,7.5,OUT,B26,-52.23,-60.63,-61.36,-63.26,-60.64,-52.23,-52.63,-63.06,-61.45
P000070,-31.5106138,-60.7191532,7.5,OUT,B26,-52.26,-60.65,-61.39,-63.29,-60.67,-52.26,-52.66,-63.08,-61.48
P000071,-31.5106138,-60.7191216,7.5,OUT,B26,-52.29,-60.68,-61.41,-63.32,-60.69,-52.29,-52.68,-63.11,-61.51
P000072,-31.5106138,-60.71909,7.5,OUT,B26,-52.32,-60.71,-61.44,-63.35,-60.72,-52.32,-52.71,-63.14,-61.53
P000073,-31.5106138,-60.7190584,7.5,OUT,B26,-52.35,-60.74,-61.47,-63.37,-60.75,-52.35,-52.74,-63.17,-61.56
P000074,-31.5106138,-60.7190268,7.5,OUT,B26,-52.38,-60.76,-61.5,-63.4,-60.78,-52.38,-52.77,-63.2,-61.59
P000075,-31.5106138,-60.7189952,7.5,OUT,B26,-52.41,-60.79,-61.52,-63.43,-60.8,-52.41,-52.79,-63.22,-61.62
P000076,-31.5106138,-60.7189636,7.5,OUT,B26,-52.44,-60.82,-61.55,-63.45,-60.83,-52.44,-52.82,-63.25,-61.64
P000077,-31.5105869,-60.7197222,7.5,OUT,B26,-51.71,-60.15,-60.89,-62.79,-60.17,-51.71,-52.16,-62.58,-60.98
P000078,-31.5105869,-60.7196906,7.5,OUT,B26,-51.74,-60.18,-60.92,-62.82,-60.19,-51.74,-52.19,-62.61,-61.01
P000079,-31.5105869,-60.719659,7.5,OUT,B26,-51.77,-60.21,-60.95,-62.85,-60.22,-51.77,-52.22,-62.64,-61.04
P000080,-31.5105869,-60.7196274,7.5,OUT,B26,-51.81,-60.24,-60.98,-62.88,-60.25,-51.81,-52.25,-62.67,-61.07
P000081,-31.5105869,-60.7195958,7.5,OUT,B26,-51.84,-60.27,-61.0,-62.91,-60.28,-51.84,-52.27,-62.7,-61.1
P000082,-31.5105869,-60.7195642,7.5,OUT,B26,-51.87,-60.3,-61.03,-62.94,-60.31,-51.87,-52.3,-62.73,-61.13
P000083,-31.5105869,-60.7195326,7.5,OUT,B26,-51.9,-60.33,-61.06,-62.97,-60.34,-51.9,-52.33,-62.76,-61.15
P000084,-31.5105869,-60.7195009,7.5,OUT,B26,-51.93,-60.36,-61.09,-63.0,-60.37,-51.93,-52.36,-62.79,-61.18
P000085,-31.5105869,-60.7194693,7.5,OUT,B26,-51.96,-60.39,-61.12,-63.02,-60.4,-51.96,-52.39,-62.82,-61.21
P000086,-31.5105869,-60.7194377,7.5,OUT,B26,-52.0,-60.42,-61.15,-63.05,-60.43,-52.0,-52.42,-62.85,-61.24
P000087,-31.5105869,-60.7194061,7.5,OUT,B26,-52.03,-60.45,-61.18,-63.08,-60.46,-52.03,-52.45,-62.88,-61.27
P000088,-31.5105869,-60.7193745,7.5,OUT,B26,-52.06,-60.47,-61.21,-63.11,-60.49,-52.06,-52.48,-62.91,-61.3
P000089,-31.5105869,-60.7193429,7.5,OUT,B26,-52.09,-60.5,-61.24,-63.14,-60.51,-52.09,-52.51,-62.93,-61.33
P000090,-31.5105869,-60.7193113,7.5,OUT,B26,-52.12,-60.53,-61.26,-63.17,-60.54,-52.12,-52.53,-62.96,-61.35
P000091,-31.5105869,-60.7192797,7.5,OUT,B26,-52.15,-60.56,-61.29,-63.2,-60.57,-52.15,-52.56,-62.99,-61.38
P000092,-31.5105869,-60.7192481,7.5,OUT,B26,-52.18,-60.59,-61.32,-63.22,-60.6,-52.18,-52.59,-63.02,-61.41
P000093,-31.5105869,-60.7192165,7.5,OUT,B26,-52.21,-60.62,-61.35,-63.25,-60.63,-52.21,-52.62,-63.05,-61.44
P000094,-31.5105869,-60.7191848,7.5,OUT,B26,-52.25,-60.64,-61.38,-63.28,-60.65,-52.25,-52.65,-63.07,-61.47
P000095,-31.5105869,-60.7191532,7.5,OUT,B26,-52.28,-60.67,-61.4,-63.31,-60.68,-52.28,-52.67,-63.1,-61.49
P000096,-31.5105869,-60.7191216,7.5,OUT,B26,-52.31,-60.7,-61.43,-63.33,-60.71,-52.31,-52.7,-63.13,-61.52
P000097,-31.5105869,-60.71909,7.5,OUT,B26,-52.34,-60.73,-61.46,-63.36,-60.74,-52.34,-52.73,-63.16,-61.55
P000098,-31.5105869,-60.7190584,7.5,OUT,B26,-52.37,-60.75,-61.49,-63.39,-60.76,-52.37,-52.76,-63.18,-61.58
P000099,-31.5105869,-60.7190268,7.5,OUT,B26,-52.4,-60.78,-61.51,-63.42,-60.79,-52.4,-52.78,-63.21,-61.6
P000100,-31.5105869,-60.7189952,7.5,OUT,B26,-52.43,-60.81,-61.54,-63.44,-60.82,-52.43,-52.81,-63.24,-61.63
P000101,-31.5105869,-60.7189636,7.5,OUT,B26,-52.46,-60.84,-61.57,-63.47,-60.85,-52.46,-52.84,-63.27,-61.66
P000102,-31.5105599,-60.7198487,7.5,OUT,B26,-51.6,-60.05,-60.79,-62.69,-60.07,-51.6,-52.06,-62.49,-60.88
P000103,-31.5105599,-60.7198171,7.5,OUT,B26,-51.63,-60.08,-60.82,-62.72,-60.1,-51.63,-52.09,-62.52,-60.91
P000104,-31.5105599,-60.7197854,7.5,OUT,B26,-51.67,-60.11,-60.85,-62.75,-60.13,-51.67,-52.12,-62.55,-60.94
P000105,-31.5105599,-60.7197538,7.5,OUT,B26,-51.7,-60.14,-60.88,-62.78,-60.16,-51.7,-52.15,-62.57,-60.97
P000106,-31.5105599,-60.7197222,7.5,OUT,B26,-51.73,-60.17,-60.91,-62.81,-60.18,-51.73,-52.18,-62.6,-61.0
P000107,-31.5105599,-60.7196906,7.5,OUT,B26,-51.76,-60.2,-60.94,-62.84,-60.21,-51.76,-52.21,-62.63,-61.03
P000108,-31.5105599,-60.719659,7.5,OUT,B26,-51.79,-60.23,-60.97,-62.87,-60.24,-51.79,-52.23,-62.66,-61.06
P000109,-31.5105599,-60.7196274,7.5,OUT,B26,-51.83,-60.26,-60.99,-62.9,-60.27,-51.83,-52.26,-62.69,-61.09
P000110,-31.5105599,-60.7195958,7.5,OUT,B26,-51.86,-60.29,-61.02,-62.93,-60.3,-51.86,-52.29,-62.72,-61.12
P000111,-31.5105599,-60.7195642,7.5,OUT,B26,-51.89,-60.32,-61.05,-62.96,-60.33,-51.89,-52.32,-62.75,-61.14
P000112,-31.5105599,-60.7195326,7.5,OUT,B26,-51.92,-60.35,-61.08,-62.99,-60.36,-51.92,-52.35,-62.78,-61.17
P000113,-31.5105599,-60.7195009,7.5,OUT,B26,-51.95,-60.38,-61.11,-63.01,-60.39,-51.95,-52.38,-62.81,-61.2
P000114,-31.5105599,-60.7194693,7.5,OUT,B26,-51.98,-60.41,-61.14,-63.04,-60.42,-51.98,-52.41,-62.84,-61.23
P000115,-31.5105599,-60.7194377,7.5,OUT,B26,-52.02,-60.44,-61.17,-63.07,-60.45,-52.02,-52.44,-62.87,-61.26
P000116,-31.5105599,-60.7194061,7.5,OUT,B26,-52.05,-60.46,-61.2,-63.1,-60.48,-52.05,-52.47,-62.9,-61.29
P000117,-31.5105599,-60.7193745,7.5,OUT,B26,-52.08,-60.49,-61.23,-63.13,-60.5,-52.08,-52.49,-62.92,-61.32
P000118,-31.5105599,-60.7193429,7.5,OUT,B26,-52.11,-60.52,-61.25,-63.16,-60.53,-52.11,-52.52,-62.95,-61.34
P000119,-31.5105599,-60.7193113,7.5,OUT,B26,-52.14,-60.55,-61.28,-63.19,-60.56,-52.14,-52.55,-62.98,-61.37
P000120,-31.5105599,-60.7192797,7.5,OUT,B26,-52.17,-60.58,-61.31,-63.21,-60.59,-52.17,-52.58,-63.01,-61.4
P000121,-31.5105599,-60.7192481,7.5,OUT,B26,-52.2,-60.6,-61.34,-63.24,-60.62,-52.2,-52.61,-63.04,-61.43
P000122,-31.5105599,-60.7192165,7.5,OUT,B26,-52.23,-60.63,-61.37,-63.27,-60.64,-52.23,-52.64,-63.06,-61.46
P000123,-31.5105599,-60.7191848,7.5,OUT,B26,-52.26,-60.66,-61.39,-63.3,-60.67,-52.26,-52.66,-63.09,-61.48
P000124,-31.5105599,-60.7191532,7.5,OUT,B26,-52.29,-60.69,-61.42,-63.32,-60.7,-52.29,-52.69,-63.12,-61.51
P000125,-31.5105599,-60.7191216,7.5,OUT,B26,-52.32,-60.72,-61.45,-63.35,-60.73,-52.32,-52.72,-63.15,-61.54
P000126,-31.5105599,-60.71909,7.5,OUT,B26,-52.35,-60.74,-61.48,-63.38,-60.75,-52.35,-52.75,-63.17,-61.57
P000127,-31.5105599,-60.7190584,7.5,OUT,B26,-52.38,-60.77,-61.5,-63.41,-60.78,-52.38,-52.77,-63.2,-61.59
P000128,-31.5105599,-60.7190268,7.5,OUT,B26,-52.42,-60.8,-61.53,-63.43,-60.81,-52.42,-52.8,-63.23,-61.62
P000129,-31.5105599,-60.7189952,7.5,OUT,B26,-52.45,-60.82,-61.56,-63.46,-60.84,-52.45,-52.83,-63.26,-61.65
P000130,-31.5105599,-60.7189636,7.5,OUT,B26,-52.48,-60.85,-61.58,-63.49,-60.86,-52.48,-52.85,-63.28,-61.68
P000131,-31.510533,-60.7199435,7.5,OUT,B26,-51.52,-59.98,-60.72,-62.62,-60.0,-51.52,-51.99,-62.41,-60.81
P000132,-31.510533,-60.7199119,7.5,OUT,B26,-51.56,-60.01,-60.75,-62.65,-60.03,-51.56,-52.02,-62.45,-60.84
P000133,-31.510533,-60.7198803,7.5,OUT,B26,-51.59,-60.04,-60.78,-62.68,-60.06,-51.59,-52.05,-62.48,-60.87
P000134,-31.510533,-60.7198487,7.5,OUT,B26,-51.62,-60.07,-60.81,-62.71,-60.09,-51.62,-52.08,-62.51,-60.9
P000135,-31.510533,-60.7198171,7.5,OUT,B26,-51.65,-60.1,-60.84,-62.74,-60.12,-51.65,-52.11,-62.54,-60.93
P000136,-31.510533,-60.7197854,7.5,OUT,B26,-51.69,-60.13,-60.87,-62.77,-60.15,-51.69,-52.14,-62.57,-60.96
P000137,-31.510533,-60.7197538,7.5,OUT,B26,-51.72,-60.16,-60.9,-62.8,-60.17,-51.72,-52.17,-62.59,-60.99
P000138,-31.510533,-60.7197222,7.5,OUT,B26,-51.75,-60.19,-60.93,-62.83,-60.2,-51.75,-52.2,-62.62,-61.02
P000139,-31.510533,-60.7196906,7.5,OUT,B26,-51.78,-60.22,-60.96,-62.86,-60.23,-51.78,-52.23,-62.65,-61.05
P000140,-31.510533,-60.719659,7.5,OUT,B26,-51.81,-60.25,-60.98,-62.89,-60.26,-51.81,-52.25,-62.68,-61.08
P000141,-31.510533,-60.7196274,7.5,OUT,B26,-51.85,-60.28,-61.01,-62.92,-60.29,-51.85,-52.28,-62.71,-61.11
P000142,-31.510533,-60.7195958,7.5,OUT,B26,-51.88,-60.31,-61.04,-62.95,-60.32,-51.88,-52.31,-62.74,-61.13
P000143,-31.510533,-60.7195642,7.5,OUT,B26,-51.91,-60.34,-61.07,-62.98,-60.35,-51.91,-52.34,-62.77,-61.16
P000144,-31.510533,-60.7195326,7.5,OUT,B26,-51.94,-60.37,-61.1,-63.0,-60.38,-51.94,-52.37,-62.8,-61.19
P000145,-31.510533,-60.7195009,7.5,OUT,B26,-51.97,-60.4,-61.13,-63.03,-60.41,-51.97,-52.4,-62.83,-61.22
P000146,-31.510533,-60.7194693,7.5,OUT,B26,-52.0,-60.43,-61.16,-63.06,-60.44,-52.0,-52.43,-62.86,-61.25
P000147,-31.510533,-60.7194377,7.5,OUT,B26,-52.03,-60.45,-61.19,-63.09,-60.46,-52.03,-52.46,-62.88,-61.28
P000148,-31.510533,-60.7194061,7.5,OUT,B26,-52.07,-60.48,-61.21,-63.12,-60.49,-52.07,-52.48,-62.91,-61.31
P000149,-31.510533,-60.7193745,7.5,OUT,B26,-52.1,-60.51,-61.24,-63.15,-60.52,-52.1,-52.51,-62.94,-61.33
P000150,-31.510533,-60.7193429,7.5,OUT,B26,-52.13,-60.54,-61.27,-63.17,-60.55,-52.13,-52.54,-62.97,-61.36
P000151,-31.510533,-60.7193113,7.5,OUT,B26,-52.16,-60.57,-61.3,-63.2,-60.58,-52.16,-52.57,-63.0,-61.39
P000152,-31.510533,-60.7192797,7.5,OUT,B26,-52.19,-60.59,-61.33,-63.23,-60.61,-52.19,-52.6,-63.03,-61.42
P000156,-31.510533,-60.7191532,7.5,OUT,B26,-52.31,-60.71,-61.44,-63.34,-60.72,-52.31,-52.71,-63.14,-61.53
P000157,-31.510533,-60.7191216,7.5,OUT,B26,-52.34,-60.73,-61.47,-63.37,-60.74,-52.34,-52.74,-63.16,-61.56
P000158,-31.510533,-60.71909,7.5,OUT,B26,-52.37,-60.76,-61.49,-63.4,-60.77,-52.37,-52.76,-63.19,-61.58
P000159,-31.510533,-60.7190584,7.5,OUT,B26,-52.4,-60.79,-61.52,-63.42,-60.8,-52.4,-52.79,-63.22,-61.61
P000160,-31.510533,-60.7190268,7.5,OUT,B26,-52.43,-60.81,-61.55,-63.45,-60.83,-52.43,-52.82,-63.25,-61.64
P000161,-31.510533,-60.7189952,7.5,OUT,B26,-52.46,-60.84,-61.57,-63.48,-60.85,-52.46,-52.84,-63.27,-61.67
P000162,-31.510533,-60.7189636,7.5,OUT,B26,-52.49,-60.87,-61.6,-63.5,-60.88,-52.49,-52.87,-63.3,-61.69
P000163,-31.510533,-60.718932,7.5,OUT,B26,-52.52,-60.89,-61.63,-63.53,-60.91,-52.52,-52.9,-63.33,-61.72
P000164,-31.510506,-60.7200699,7.5,OUT,B26,-51.42,-59.88,-60.62,-62.52,-59.89,-51.42,-51.89,-62.31,-60.71
P000165,-31.510506,-60.7200383,7.5,OUT,B26,-51.45,-59.91,-60.65,-62.55,-59.93,-51.45,-51.92,-62.34,-60.74
P000166,-31.510506,-60.7200067,7.5,OUT,B26,-51.48,-59.94,-60.68,-62.58,-59.96,-51.48,-51.95,-62.38,-60.77
P000167,-31.510506,-60.7199751,7.5,OUT,B26,-51.51,-59.97,-60.71,-62.61,-59.99,-51.51,-51.98,-62.41,-60.8
P000168,-31.510506,-60.7199435,7.5,OUT,B26,-51.55,-60.0,-60.74,-62.64,-60.02,-51.55,-52.01,-62.44,-60.83
P000169,-31.510506,-60.7199119,7.5,OUT,B26,-51.58,-60.04,-60.77,-62.67,-60.05,-51.58,-52.04,-62.47,-60.86
P000170,-31.510506,-60.7198803,7.5,OUT,B26,-51.61,-60.06,-60.8,-62.7,-60.08,-51.61,-52.07,-62.5,-60.89
P000171,-31.510506,-60.7198487,7.5,OUT,B26,-51.64,-60.09,-60.83,-62.73,-60.11,-51.64,-52.1,-62.53,-60.92
P000172,-31.510506,-60.7198171,7.5,OUT,B26,-51.67,-60.12,-60.86,-62.76,-60.14,-51.67,-52.13,-62.56,-60.95
P000173,-31.510506,-60.7197854,7.5,OUT,B26,-51.71,-60.15,-60.89,-62.79,-60.17,-51.71,-52.16,-62.59,-60.98
P000174,-31.510506,-60.7197538,7.5,OUT,B26,-51.74,-60.18,-60.92,-62.82,-60.19,-51.74,-52.19,-62.61,-61.01
P000175,-31.510506,-60.7197222,7.5,OUT,B26,-51.77,-60.21,-60.95,-62.85,-60.22,-51.77,-52.22,-62.64,-61.04
P000176,-31.510506,-60.7196906,7.5,OUT,B26,-51.8,-60.24,-60.98,-62.88,-60.25,-51.8,-52.24,-62.67,-61.07
P000177,-31.510506,-60.719659,7.5,OUT,B26,-51.83,-60.27,-61.0,-62.91,-60.28,-51.83,-52.27,-62.7,-61.1
P000178,-31.510506,-60.7196274,7.5,OUT,B26,-51.87,-60.3,-61.03,-62.94,-60.31,-51.87,-52.3,-62.73,-61.12
P000179,-31.510506,-60.7195958,7.5,OUT,B26,-51.9,-60.33,-61.06,-62.97,-60.34,-51.9,-52.33,-62.76,-61.15
P000180,-31.510506,-60.7195642,7.5,OUT,B26,-51.93,-60.36,-61.09,-62.99,-60.37,-51.93,-52.36,-62.79,-61.18
P000181,-31.510506,-60.7195326,7.5,OUT,B26,-51.96,-60.39,-61.12,-63.02,-60.4,-51.96,-52.39,-62.82,-61.21
P000182,-31.510506,-60.7195009,7.5,OUT,B26,-51.99,-60.42,-61.15,-63.05,-60.43,-51.99,-52.42,-62.85,-61.24
P000183,-31.510506,-60.7194693,7.5,OUT,B26,-52.02,-60.44,-61.18,-63.08,-60.46,-52.02,-52.45,-62.87,-61.27
P000184,-31.510506,-60.7194377,7.5,OUT,B26,-52.05,-60.47,-61.21,-63.11,-60.48,-52.05,-52.47,-62.9,-61.3
P000185,-31.510506,-60.7194061,7.5,OUT,B26,-52.08,-60.5,-61.23,-63.14,-60.51,-52.08,-52.5,-62.93,-61.32
P000186,-31.510506,-60.7193745,7.5,OUT,B26,-52.12,-60.53,-61.26,-63.16,-60.54,-52.12,-52.53,-62.96,-61.35
P000187,-31.510506,-60.7193429,7.5,OUT,B26,-52.15,-60.56,-61.29,-63.19,-60.57,-52.15,-52.56,-62.99,-61.38
P000193,-31.510506,-60.7191532,7.5,OUT,B26,-52.33,-60.72,-61.46,-63.36,-60.73,-52.33,-52.72,-63.15,-61.55
P000194,-31.510506,-60.7191216,7.5,OUT,B26,-52.36,-60.75,-61.48,-63.39,-60.76,-52.36,-52.75,-63.18,-61.57
P000195,-31.510506,-60.71909,7.5,OUT,B26,-52.39,-60.78,-61.51,-63.41,-60.79,-52.39,-52.78,-63.21,-61.6
P000196,-31.510506,-60.7190584,7.5,OUT,B26,-52.42,-60.8,-61.54,-63.44,-60.82,-52.42,-52.81,-63.24,-61.63
