id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up9,bearing_deg_from_up9,estimated_bands
278,722,34,770,7733893,-31.562,-60.73,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,5.835,186.7,B5 (850); B1 (2100)
277,722,7,2731,8373957,-31.562,-60.732,1123,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,5.86,188.5,B5 (850); B1 (2100)
284,722,310,13204,24467806,-31.56,-60.742,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,5.862,198.1,B5 (850); B1 (2100)
273,722,34,710,40139,-31.555,-60.755,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,5.872,211.3,B5 (850); B2 (1900)
271,722,310,13201,20126905,-31.555,-60.755,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,5.872,211.3,B5 (850); B1 (2100)
272,722,310,13204,24452281,-31.555,-60.755,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,5.872,211.3,B5 (850); B1 (2100)
270,722,34,10770,17995020,-31.557,-60.751,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,5.881,207.0,B28 (700); B4 (AWS); B7 (2600)
297,722,34,714,50259,-31.564,-60.724,1973,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.018,181.1,B5 (850); B2 (1900)
296,722,34,10770,17972995,-31.564,-60.722,2372,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.018,179.3,B28 (700); B4 (AWS); B7 (2600)
315,722,310,13204,24447642,-31.554,-60.686,4003,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.019,144.6,B5 (850); B1 (2100)
265,722,7,2761,133640451,-31.559,-60.751,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.08,206.1,B28 (700); B4 (AWS); B7 (2600)
266,722,310,13204,24472293,-31.559,-60.752,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.122,206.9,B5 (850); B1 (2100)
240,722,7,2731,8375729,-31.566,-60.729,1123,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.267,185.4,B5 (850); B1 (2100)
433,722,34,791,6888559,-31.525,-60.659,11710,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.277,105.5,B5 (850); B1 (2100)
264,722,7,2761,133640454,-31.56,-60.754,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.308,207.9,B28 (700); B4 (AWS); B7 (2600)
314,722,310,13204,24452294,-31.557,-60.685,4316,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.347,145.6,B5 (850); B1 (2100)
313,722,34,770,7734071,-31.559,-60.688,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.38,148.9,B5 (850); B1 (2100)
198,722,310,3224,33999,-31.566,-60.737,2284,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.383,192.2,B5 (850); B2 (1900)
197,722,7,2731,8336146,-31.566,-60.737,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.383,192.2,B5 (850); B1 (2100)
260,722,310,13204,24502293,-31.564,-60.746,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.406,200.1,B5 (850); B1 (2100)
318,722,310,13204,24487818,-31.556,-60.682,4114,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.423,143.0,B5 (850); B1 (2100)
263,722,34,10770,17995010,-31.561,-60.755,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.451,208.2,B28 (700); B4 (AWS); B7 (2600)
310,722,310,3224,13995,-31.564,-60.697,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.495,157.9,B5 (850); B2 (1900)
199,722,7,2701,3394,-31.566,-60.742,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.499,196.2,B5 (850); B2 (1900)
262,722,34,10770,17995016,-31.562,-60.755,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.549,207.8,B28 (700); B4 (AWS); B7 (2600)
